
time;gfx;gFy;gFz;Bx;By;Bz;
2,0540;0,0020;-0,1036;0,9948;14,2500;2,0000;41,5000;
2,0590;0,0020;-0,1036;0,9948;14,2500;2,0000;41,5000;
2,0690;0,0020;-0,1036;0,9948;14,2500;2,0000;41,5000;
2,0790;0,0020;-0,1036;0,9948;14,2500;2,0000;41,5000;
2,0890;0,0020;-0,1036;0,9948;14,2500;2,0000;41,5000;
2,0990;0,0020;-0,1036;0,9948;14,2500;2,0000;41,5000;
2,1090;0,0020;-0,1036;0,9948;14,2500;2,0000;41,5000;
2,1190;0,0020;-0,1036;0,9948;14,2500;2,0000;41,5000;
2,1290;0,0020;-0,1036;0,9948;14,2500;2,0000;41,5000;
2,1320;0,0020;-0,1036;0,9948;13,7500;2,2500;41,5000;
2,1390;0,0020;-0,1036;0,9948;13,7500;2,2500;41,5000;
2,1490;0,0020;-0,1036;0,9948;13,7500;2,2500;41,5000;
2,1600;0,0020;-0,1036;0,9948;13,7500;2,2500;41,5000;
2,1690;0,0020;-0,1036;0,9948;13,7500;2,2500;41,5000;
2,1800;0,0020;-0,1036;0,9948;13,7500;2,2500;41,5000;
2,1890;0,0020;-0,1036;0,9948;13,7500;2,2500;41,5000;
2,2000;0,0020;-0,1036;0,9948;13,7500;2,2500;41,5000;
2,2090;0,0020;-0,1036;0,9948;13,7500;2,2500;41,5000;
2,2190;0,0059;-0,0782;0,9890;13,7500;2,2500;41,5000;
2,2200;0,0059;-0,0782;0,9890;13,7500;2,2500;41,5000;
2,2210;0,0059;-0,0782;0,9890;13,7500;2,2500;41,5000;
2,2290;0,0059;-0,0782;0,9890;13,7500;2,2500;41,5000;
2,2400;0,0059;-0,0782;0,9890;13,7500;2,2500;41,5000;
2,2490;0,0059;-0,0782;0,9890;13,7500;2,2500;41,5000;
2,2600;0,0059;-0,0782;0,9890;13,7500;2,2500;41,5000;
2,2690;0,0059;-0,0782;0,9890;13,7500;2,2500;41,5000;
2,2800;0,0059;-0,0782;0,9890;13,7500;2,2500;41,5000;
2,2890;0,0059;-0,0782;0,9890;13,7500;2,2500;41,5000;
2,3000;0,0059;-0,0782;0,9890;13,7500;2,2500;41,5000;
2,3090;0,0059;-0,0782;0,9890;13,7500;2,2500;41,5000;
2,3260;0,0059;-0,0782;0,9890;13,7500;2,2500;41,5000;
2,3310;0,0059;-0,0782;0,9890;13,7500;2,2500;41,5000;
2,3350;0,0059;-0,0782;0,9890;13,0000;0,7500;41,7500;
2,3490;0,0059;-0,0782;0,9890;13,0000;0,7500;41,7500;
2,3630;0,0059;-0,0782;0,9890;13,0000;0,7500;41,7500;
